-183.800, 80.199, 0.000,  0.000
-183.800, 80.200, 0.000,  0.068
-183.800, 80.200, -0.012,  0.235
-183.800, 80.197, 0.026,  0.350
-183.800, 80.191, 0.128,  0.490
-183.797, 80.164, 0.340,  0.716
-183.785, 80.113, 0.663,  0.882
-183.756, 80.040, 0.768,  1.126
-183.706, 79.963, 0.848,  1.286
-183.640, 79.874, 1.034,  1.549
-183.564, 79.766, 1.249,  1.726
-183.481, 79.640, 1.466,  2.037
-183.392, 79.497, 1.663,  2.254
-183.299, 79.340, 1.824,  2.457
-183.201, 79.172, 1.943,  2.655
-183.101, 78.996, 2.024,  2.865
-183.000, 78.815, 2.075,  3.069
-182.898, 78.630, 2.104,  3.267
-182.796, 78.445, 2.118,  3.558
-182.695, 78.258, 2.121,  3.727
-182.596, 78.070, 2.119,  3.989
-182.498, 77.883, 2.112,  4.227
-182.403, 77.694, 2.104,  4.380
-182.312, 77.506, 2.095,  4.537
-182.223, 77.317, 2.087,  4.692
-182.137, 77.127, 2.081,  4.850
-182.056, 76.936, 2.077,  5.010
-181.977, 76.743, 2.076,  5.165
-181.903, 76.549, 2.077,  5.324
-181.832, 76.353, 2.080,  5.485
-181.765, 76.155, 2.085,  5.686
-181.702, 75.956, 2.093,  5.851
-181.642, 75.754, 2.102,  6.014
-181.587, 75.549, 2.112,  6.176
-181.535, 75.342, 2.124,  6.332
-181.488, 75.134, 2.138,  6.495
-181.444, 74.922, 2.153,  6.655
-181.404, 74.708, 2.168,  6.828
-181.368, 74.492, 2.185,  7.049
-181.335, 74.274, 2.203,  7.212
-181.306, 74.053, 2.221,  7.375
-181.280, 73.830, 2.240,  7.538
-181.257, 73.605, 2.259,  7.705
-181.238, 73.378, 2.279,  7.875
-181.221, 73.148, 2.299,  8.039
-181.207, 72.917, 2.319,  8.201
-181.196, 72.683, 2.340,  8.353
-181.187, 72.447, 2.361,  8.506
-181.181, 72.209, 2.382,  8.658
-181.177, 71.969, 2.403,  8.813
-181.174, 71.726, 2.425,  8.966
-181.174, 71.482, 2.446,  9.119
-181.175, 71.236, 2.468,  9.277
-181.177, 70.987, 2.490,  9.428
-181.181, 70.737, 2.512,  9.580
-181.186, 70.484, 2.534,  9.734
-181.192, 70.229, 2.557,  9.889
-181.198, 69.972, 2.580, 10.047
-181.206, 69.712, 2.603, 10.203
-181.214, 69.451, 2.626, 10.362
-181.222, 69.187, 2.650, 10.518
-181.231, 68.920, 2.674, 10.676
-181.240, 68.652, 2.698, 10.833
-181.249, 68.381, 2.722, 10.992
-181.258, 68.107, 2.747, 11.150
-181.267, 67.831, 2.773, 11.307
-181.276, 67.552, 2.799, 11.467
-181.285, 67.271, 2.825, 11.638
-181.293, 66.987, 2.852, 11.800
-181.301, 66.701, 2.879, 11.962
-181.309, 66.411, 2.906, 12.122
-181.317, 66.119, 2.934, 12.287
-181.324, 65.824, 2.963, 12.452
-181.331, 65.526, 2.991, 12.614
-181.338, 65.225, 3.021, 12.775
-181.344, 64.922, 3.050, 12.938
-181.350, 64.615, 3.080, 13.101
-181.355, 64.305, 3.110, 13.263
-181.360, 63.992, 3.141, 13.422
-181.365, 63.676, 3.172, 13.585
-181.369, 63.357, 3.204, 13.750
-181.372, 63.035, 3.236, 13.915
-181.376, 62.710, 3.268, 14.080
-181.379, 62.381, 3.301, 14.242
-181.382, 62.049, 3.334, 14.406
-181.384, 61.713, 3.367, 14.571
-181.386, 61.375, 3.401, 14.736
-181.388, 61.033, 3.436, 14.904
-181.389, 60.687, 3.470, 15.069
-181.391, 60.338, 3.505, 15.237
-181.392, 59.985, 3.541, 15.403
-181.393, 59.629, 3.577, 15.573
-181.394, 59.269, 3.613, 15.741
-181.394, 58.906, 3.650, 15.909
-181.395, 58.539, 3.687, 16.079
-181.395, 58.168, 3.724, 16.246
-181.395, 57.793, 3.762, 16.421
-181.396, 57.415, 3.801, 16.586
-181.396, 57.032, 3.840, 16.754
-181.396, 56.646, 3.879, 16.923
-181.396, 56.256, 3.918, 17.092
-181.396, 55.861, 3.958, 17.266
-181.396, 55.463, 3.997, 17.432
-181.395, 55.061, 4.036, 17.596
-181.395, 54.656, 4.075, 17.761
-181.395, 54.246, 4.114, 17.927
-181.395, 53.832, 4.153, 18.090
-181.395, 53.415, 4.193, 18.256
-181.395, 52.993, 4.233, 18.419
-181.395, 52.567, 4.273, 18.580
-181.395, 52.138, 4.314, 18.748
-181.395, 51.704, 4.355, 18.907
-181.395, 51.266, 4.397, 19.070
-181.395, 50.824, 4.439, 19.238
-181.395, 50.377, 4.482, 19.409
-181.395, 49.926, 4.525, 19.575
-181.395, 49.471, 4.569, 19.742
-181.395, 49.012, 4.614, 19.909
-181.395, 48.548, 4.659, 20.076
-181.395, 48.079, 4.705, 20.244
-181.395, 47.606, 4.751, 20.422
-181.395, 47.128, 4.798, 20.589
-181.395, 46.646, 4.845, 20.745
-181.395, 46.158, 4.893, 20.897
-181.395, 45.666, 4.941, 21.046
-181.395, 45.169, 4.990, 21.194
-181.395, 44.667, 5.040, 21.344
-181.395, 44.160, 5.090, 21.494
-181.395, 43.649, 5.113, 21.643
-181.395, 43.141, 5.070, 21.794
-181.395, 42.636, 5.051, 21.945
-181.395, 42.131, 5.059, 22.096
-181.395, 41.623, 5.093, 22.247
-181.395, 41.110, 5.149, 22.398
-181.395, 40.590, 5.223, 22.553
-181.394, 40.063, 5.311, 22.708
-181.394, 39.526, 5.408, 22.867
-181.394, 38.979, 5.508, 23.019
-181.394, 38.422, 5.608, 23.172
-181.394, 37.855, 5.704, 23.326
-181.394, 37.279, 5.795, 23.480
-181.393, 36.694, 5.878, 23.634
-181.393, 36.102, 5.955, 23.787
-181.393, 35.502, 6.025, 23.940
-181.393, 34.896, 6.091, 24.099
-181.392, 34.283, 6.152, 24.256
-181.392, 33.664, 6.211, 24.417
-181.391, 33.040, 6.268, 24.573
-181.391, 32.410, 6.326, 24.733
-181.391, 31.773, 6.384, 24.889
-181.390, 31.131, 6.444, 25.050
-181.389, 30.483, 6.506, 25.219
-181.389, 29.829, 6.570, 25.376
-181.388, 29.167, 6.636, 25.537
-181.388, 28.500, 6.705, 25.698
-181.387, 27.825, 6.775, 25.860
-181.386, 27.143, 6.845, 26.020
-181.385, 26.454, 6.915, 26.181
-181.385, 25.758, 6.984, 26.341
-181.384, 25.056, 7.054, 26.502
-181.383, 24.346, 7.124, 26.662
-181.382, 23.630, 7.194, 26.823
-181.381, 22.906, 7.266, 26.986
-181.380, 22.175, 7.338, 27.145
-181.379, 21.437, 7.411, 27.309
-181.378, 20.691, 7.485, 27.469
-181.376, 19.938, 7.560, 27.643
-181.375, 19.178, 7.635, 27.801
-181.374, 18.410, 7.710, 27.962
-181.373, 17.634, 7.786, 28.122
-181.371, 16.851, 7.862, 28.287
-181.370, 16.061, 7.939, 28.455
-181.368, 15.262, 8.017, 28.612
-181.367, 14.456, 8.097, 28.774
-181.365, 13.641, 8.178, 28.938
-181.364, 12.819, 8.260, 29.096
-181.362, 11.988, 8.344, 29.255
-181.360, 11.148, 8.429, 29.419
